Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   7.74 -.000245  -5.97  -53.7
   7.75 -.000270  -6.59  -53.2
   7.76 -.000296  -7.22  -52.8
   7.77 -.000321  -7.83  -52.3
   7.79 -.000346  -8.43  -51.9
   7.80 -.000371  -9.04  -51.4
   7.81 -.000395  -9.62  -51.0
   7.82 -.000419 -10.23  -50.6
   7.83 -.000444 -10.82  -50.2
   7.84 -.000468 -11.40  -49.8
   7.85 -.000491 -11.97  -49.4
   7.86 -.000515 -12.54  -49.0
   7.88 -.000538 -13.12  -48.6
   7.89 -.000561 -13.67  -48.2
   7.90 -.000584 -14.24  -47.8
   7.91 -.000606 -14.79  -47.4
   7.92 -.000629 -15.33  -46.9
   7.93 -.000652 -15.90  -46.6
   7.94 -.000674 -16.43  -46.2
   7.95 -.000696 -16.97  -45.8
   7.96 -.000718 -17.50  -45.5
   7.98 -.000739 -18.03  -45.1
   7.99 -.000761 -18.54  -44.7
   8.00 -.000782 -19.07  -44.4
   8.01 -.000804 -19.59  -44.1
   8.02 -.000825 -20.11  -43.8
   8.03 -.000845 -20.61  -43.4
   8.04 -.000866 -21.12  -43.1
   8.06 -.000886 -21.61  -42.6
   8.07 -.000907 -22.11  -42.3
   8.08 -.000927 -22.61  -42.0
   8.09 -.000947 -23.10  -41.7
   8.10 -.000967 -23.57  -41.4
   8.11 -.000987 -24.06  -41.1
   8.12 -.001006 -24.53  -40.7
   8.13 -.001026 -25.01  -40.4
   8.15 -.001045 -25.49  -40.1
   8.16 -.001064 -25.94  -39.8
   8.17 -.001083 -26.40  -39.4
   8.18 -.001102 -26.86  -39.1
   8.19 -.001120 -27.32  -38.8
   8.20 -.001139 -27.77  -38.5
   8.21 -.001158 -28.23  -38.3
   8.22 -.001176 -28.68  -38.0
